name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
G5	ECOG	V	n/a	n/a	G	1000	grid	n/a
G6	ECOG	V	n/a	n/a	G	1000	grid	n/a
G3	ECOG	V	n/a	n/a	G	1000	grid	n/a
G4	ECOG	V	n/a	n/a	G	1000	grid	n/a
G7	ECOG	V	n/a	n/a	G	1000	grid	n/a
G8	ECOG	V	n/a	n/a	G	1000	grid	n/a
G11	ECOG	V	n/a	n/a	G	1000	grid	n/a
G12	ECOG	V	n/a	n/a	G	1000	grid	n/a
G13	ECOG	V	n/a	n/a	G	1000	grid	n/a
G14	ECOG	V	n/a	n/a	G	1000	grid	n/a
G15	ECOG	V	n/a	n/a	G	1000	grid	n/a
G16	ECOG	V	n/a	n/a	G	1000	grid	n/a
G18	ECOG	V	n/a	n/a	G	1000	grid	n/a
G19	ECOG	V	n/a	n/a	G	1000	grid	n/a
G20	ECOG	V	n/a	n/a	G	1000	grid	n/a
G21	ECOG	V	n/a	n/a	G	1000	grid	n/a
G22	ECOG	V	n/a	n/a	G	1000	grid	n/a
G23	ECOG	V	n/a	n/a	G	1000	grid	n/a
G24	ECOG	V	n/a	n/a	G	1000	grid	n/a
G26	ECOG	V	n/a	n/a	G	1000	grid	n/a
G27	ECOG	V	n/a	n/a	G	1000	grid	n/a
G28	ECOG	V	n/a	n/a	G	1000	grid	n/a
G29	ECOG	V	n/a	n/a	G	1000	grid	n/a
G30	ECOG	V	n/a	n/a	G	1000	grid	n/a
G31	ECOG	V	n/a	n/a	G	1000	grid	n/a
G32	ECOG	V	n/a	n/a	G	1000	grid	n/a
RTT1	ECOG	V	n/a	n/a	RTT	1000	strip	n/a
RTT2	ECOG	V	n/a	n/a	RTT	1000	strip	n/a
RTT3	ECOG	V	n/a	n/a	RTT	1000	strip	n/a
RTT4	ECOG	V	n/a	n/a	RTT	1000	strip	n/a
RTT5	ECOG	V	n/a	n/a	RTT	1000	strip	n/a
RTT6	ECOG	V	n/a	n/a	RTT	1000	strip	n/a
RAST1	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST2	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST3	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RAST4	ECOG	V	n/a	n/a	RAST	1000	strip	n/a
RMST1	ECOG	V	n/a	n/a	RMST	1000	strip	n/a
RMST2	ECOG	V	n/a	n/a	RMST	1000	strip	n/a
RMST3	ECOG	V	n/a	n/a	RMST	1000	strip	n/a
RMST4	ECOG	V	n/a	n/a	RMST	1000	strip	n/a
RPST1	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST2	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST3	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPST4	ECOG	V	n/a	n/a	RPST	1000	strip	n/a
RPLT1	ECOG	V	n/a	n/a	RPLT	1000	strip	n/a
RPLT2	ECOG	V	n/a	n/a	RPLT	1000	strip	n/a
RPLT3	ECOG	V	n/a	n/a	RPLT	1000	strip	n/a
RPLT4	ECOG	V	n/a	n/a	RPLT	1000	strip	n/a
RPLT5	ECOG	V	n/a	n/a	RPLT	1000	strip	n/a
RPLT6	ECOG	V	n/a	n/a	RPLT	1000	strip	n/a
RP1	ECOG	V	n/a	n/a	RP	1000	strip	n/a
RP2	ECOG	V	n/a	n/a	RP	1000	strip	n/a
RP3	ECOG	V	n/a	n/a	RP	1000	strip	n/a
RP4	ECOG	V	n/a	n/a	RP	1000	strip	n/a
RP5	ECOG	V	n/a	n/a	RP	1000	strip	n/a
RP6	ECOG	V	n/a	n/a	RP	1000	strip	n/a
RSF1	ECOG	V	n/a	n/a	RSF	1000	strip	n/a
RSF2	ECOG	V	n/a	n/a	RSF	1000	strip	n/a
RSF3	ECOG	V	n/a	n/a	RSF	1000	strip	n/a
RSF4	ECOG	V	n/a	n/a	RSF	1000	strip	n/a
RSF5	ECOG	V	n/a	n/a	RSF	1000	strip	n/a
RSF6	ECOG	V	n/a	n/a	RSF	1000	strip	n/a
RIF1	ECOG	V	n/a	n/a	RIF	1000	strip	n/a
RIF2	ECOG	V	n/a	n/a	RIF	1000	strip	n/a
RIF3	ECOG	V	n/a	n/a	RIF	1000	strip	n/a
RIF4	ECOG	V	n/a	n/a	RIF	1000	strip	n/a
RIF5	ECOG	V	n/a	n/a	RIF	1000	strip	n/a
RIF6	ECOG	V	n/a	n/a	RIF	1000	strip	n/a
ROF1	ECOG	V	n/a	n/a	ROF	1000	strip	n/a
ROF2	ECOG	V	n/a	n/a	ROF	1000	strip	n/a
ROF3	ECOG	V	n/a	n/a	ROF	1000	strip	n/a
ROF4	ECOG	V	n/a	n/a	ROF	1000	strip	n/a
LAST1	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LAST2	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LAST3	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LAST4	ECOG	V	n/a	n/a	LAST	1000	strip	n/a
LPST1	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LPST2	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LPST3	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LPST4	ECOG	V	n/a	n/a	LPST	1000	strip	n/a
LAT1	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT2	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT3	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT4	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT5	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LAT6	ECOG	V	n/a	n/a	LAT	1000	strip	n/a
LPT1	ECOG	V	n/a	n/a	LPT	1000	strip	n/a
LPT2	ECOG	V	n/a	n/a	LPT	1000	strip	n/a
LPT3	ECOG	V	n/a	n/a	LPT	1000	strip	n/a
LPT4	ECOG	V	n/a	n/a	LPT	1000	strip	n/a
LPT5	ECOG	V	n/a	n/a	LPT	1000	strip	n/a
LPT6	ECOG	V	n/a	n/a	LPT	1000	strip	n/a
LFP1	ECOG	V	n/a	n/a	LFP	1000	strip	n/a
LFP2	ECOG	V	n/a	n/a	LFP	1000	strip	n/a
LFP3	ECOG	V	n/a	n/a	LFP	1000	strip	n/a
LFP4	ECOG	V	n/a	n/a	LFP	1000	strip	n/a
LFP5	ECOG	V	n/a	n/a	LFP	1000	strip	n/a
LFP6	ECOG	V	n/a	n/a	LFP	1000	strip	n/a
LSF1	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LSF2	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LSF3	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LSF4	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LSF5	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LSF6	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LSF7	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LSF8	ECOG	V	n/a	n/a	LSF	1000	strip	n/a
LIF1	ECOG	V	n/a	n/a	LIF	1000	strip	n/a
LIF2	ECOG	V	n/a	n/a	LIF	1000	strip	n/a
LIF3	ECOG	V	n/a	n/a	LIF	1000	strip	n/a
LIF4	ECOG	V	n/a	n/a	LIF	1000	strip	n/a
LIF5	ECOG	V	n/a	n/a	LIF	1000	strip	n/a
LIF6	ECOG	V	n/a	n/a	LIF	1000	strip	n/a
