name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region
G1	-49.9115	20.9804	-36.3905112607251	-999	G	L	grid	-46.4608	11.2455	-27.217	superiortemporal
G2	-57.6655	14.2542	-27.3413402790256	-999	G	L	grid	-51.608	3.33255	-22.1959	middletemporal
G3	-62.426	4.13722	-22.0772948080263	-999	G	L	grid	-54.6559	-4.98816	-18.506	middletemporal
G4	-68.2034	-8.56715	-21.3076580256146	-999	G	L	grid	-56.0146	-13.7556	-14.0219	superiortemporal
G5	-69.5732	-17.8312	-16.5107818952388	-999	G	L	grid	-56.2525	-22.3288	-9.80762	middletemporal
G6	-69.9729	-25.3369	-11.117098225721	-999	G	L	grid	-59.1579	-29.8531	-5.32662	middletemporal
G7	-70.3671	-33.9894	-6.53856049330623	-999	G	L	grid	-57.9909	-39.1903	-1.20039	superiortemporal
G8	-70.2236	-45.0444	-3.36178241363885	-999	G	L	grid	-58.5134	-48.0807	2.13162	bankssts
G9	-49.4535	22.5043	-25.1770633589703	-999	G	L	grid	-45.0199	15.1823	-18.3065	superiortemporal
G10	-57.1347	16.1926	-17.8048916221562	-999	G	L	grid	-51.0196	8.86869	-14.532	superiortemporal
G11	-61.7524	6.48631	-11.8555538068799	-999	G	L	grid	-53.4991	-0.0930722	-9.77777	superiortemporal
G12	-65.6993	-3.3917	-10.2133272680203	-999	G	L	grid	-54.8578	-8.86056	-5.29359	superiortemporal
G13	-68.1291	-13.1466	-8.60923534013057	-999	G	L	grid	-55.3802	-17.751	-1.96168	superiortemporal
G14	-68.6562	-19.4838	-2.13294214102461	-999	G	L	grid	-55.7599	-25.8409	2.24393	superiortemporal
G15	-69.4515	-30.1754	0.225804115387391	-999	G	L	grid	-55.9977	-34.3961	6.81766	bankssts
G16	-69.0928	-38.0393	5.31771295547218	-999	G	L	grid	-56.2356	-42.9511	11.3913	bankssts
G17	-52.1899	23.019	-15.3934056210752	-999	G	L	grid	-41.3374	19.5078	-9.93615	lateralorbitofrontal
G18	-58.0726	16.8007	-7.27369590928636	-999	G	L	grid	-48.5998	13.479	-5.98272	parsopercularis
G19	-61.8682	10.6211	-3.30019453482753	-999	G	L	grid	-51.7898	5.63737	-2.38398	superiortemporal
G20	-66.1897	3.06489	2.28829292523727	-999	G	L	grid	-53.1484	-3.12086	2.28488	precentral
G21	-66.451	-6.36635	4.49369009569039	-999	G	L	grid	-53.1023	-12.6337	7.05356	precentral
G22	-69.5545	-16.2105	6.76410994084336	-999	G	L	grid	-53.4822	-20.71	11.5298	superiortemporal
G23	-68.7508	-26.4332	8.23094663338517	-999	G	L	grid	-54.8409	-29.4582	16.3984	superiortemporal
G24	-68.419	-34.2891	12.865798572873	-999	G	L	grid	-57.3284	-37.6669	20.2517	superiortemporal
G25	-58.3336	25.968	-5.58719226665766	-999	G	L	grid	-42.1537	25.8079	-2.18445	parsorbitalis
G26	-60.7582	20.6845	2.47190925004573	-999	G	L	grid	-47.7275	18.07	2.1262	parsopercularis
G27	-63.2646	14.532	6.72297869448409	-999	G	L	grid	-50.633	10.5652	6.9971	parsopercularis
G28	-64.9338	7.50943	12.5467667035872	-999	G	L	grid	-50.8707	2.01001	11.5709	parsopercularis
G29	-65.9793	-0.130206	17.0187432955298	-999	G	L	grid	-52.514	-7.05978	15.4718	postcentral
G30	-68.923	-10.7553	16.778255987025	-999	G	L	grid	-54.0146	-15.3292	20.2429	postcentral
G31	-68.8853	-18.7255	19.5661367453919	-999	G	L	grid	-55.3733	-24.0775	25.1113	supramarginal
